rt,url,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,test_part,boxes_type,utt_type,correct_side,responses,subid,accuracy
2337.8350001294166,NA,html-button-response,3,57676,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,ygoo_plny_cive,NA
2957.365000154823,NA,html-button-response,4,60634,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,ygoo_plny_cive,NA
1548.0449998285621,NA,html-button-response,5,62184,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>",1,test,type,simple,0,NA,ygoo_plny_cive,0
4846.594999777153,NA,survey-text,6,67034,0.0-4.0,NA,NA,comment,NA,NA,NA,CONTAIN DIFFERENT ELEMENT,ygoo_plny_cive,NA
1868.4900000225753,NA,html-button-response,7,68903,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,ygoo_plny_cive,NA
3475.495000020601,recaptcha.html,external-html,0,3488,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,ykiq_povz_tdjm,NA
10424.26999998861,consent/consent.html,external-html,1,14101,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,ykiq_povz_tdjm,NA
1522.3750000004657,NA,html-button-response,2,15625,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,ykiq_povz_tdjm,NA
5265.669999993406,NA,html-button-response,3,22892,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,ykiq_povz_tdjm,NA
2791.5999999968335,NA,html-button-response,4,25685,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,ykiq_povz_tdjm,NA
4434.580000001006,NA,html-button-response,5,30121,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>",0,test,entropy,simple,1,NA,ykiq_povz_tdjm,0
13454.259999998612,NA,survey-text,6,43577,0.0-4.0,NA,NA,comment,NA,NA,NA,The stars just make me think of toma.,ykiq_povz_tdjm,NA
820.8499999891501,NA,html-button-response,7,44399,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,ykiq_povz_tdjm,NA
21999.73499999942,recaptcha.html,external-html,0,22069,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,yrhs_lmkv_bplo,NA
6058.955000000424,consent/consent.html,external-html,1,28153,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,yrhs_lmkv_bplo,NA
1116.2050000002637,NA,html-button-response,2,29276,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,yrhs_lmkv_bplo,NA
1809.2799999994895,NA,html-button-response,3,33098,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,yrhs_lmkv_bplo,NA
1412.0650000004389,NA,html-button-response,4,34514,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,yrhs_lmkv_bplo,NA
795.5649999985326,NA,html-button-response,5,35313,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>",1,test,num,complex,0,NA,yrhs_lmkv_bplo,0
3370.554999999513,NA,survey-text,6,38689,0.0-4.0,NA,NA,comment,NA,NA,NA,good,yrhs_lmkv_bplo,NA
925.9400000009919,NA,html-button-response,7,39617,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,yrhs_lmkv_bplo,NA
32277.999999991152,recaptcha.html,external-html,0,32672,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,yvoa_qxlt_npjj,NA
